requestId,source,destination,category,urgency,timeSubmitted,deadline,status
1,N Block,Science Block,maintenance_IT,3,2024-01-25 07:58,2024-01-25 10:35,cancelled
2,Legon Hall,Maintenance Depot,maintenance_plumbing,3,2024-02-08 08:47,2024-02-08 10:25,pending
3,Mensah Sarbah Hall,N Block,maintenance_structural,3,2024-02-04 15:18,2024-02-04 16:53,cancelled
4,Jean Nelson Hall,Science Block,maintenance_IT,2,2024-01-25 08:50,2024-01-25 10:35,pending
5,Jean Nelson Hall,Maintenance Depot,maintenance_structural,5,2024-01-30 15:54,2024-01-30 17:13,completed
6,Claver Robinson Hostel,School of Engineering,maintenance_electrical,2,2024-01-18 18:17,2024-01-18 21:53,pending
7,Commonwealth Hall,Engineering Block,maintenance_structural,1,2024-02-04 07:17,2024-02-04 09:56,pending
8,Mensah Sarbah Hall,School of Engineering,maintenance_IT,1,2024-01-24 17:07,2024-01-24 20:52,assigned
9,Balme Library,Maintenance Depot,maintenance_plumbing,1,2024-02-08 18:43,2024-02-08 20:47,assigned
10,Night Market,N Block,maintenance_plumbing,2,2024-02-12 10:55,2024-02-12 13:22,pending
11,Mizpah Hostel,Maintenance Depot,maintenance_IT,1,2024-02-01 12:20,2024-02-01 13:46,pending
12,Bani Hostel,Maintenance Depot,maintenance_structural,4,2024-01-19 16:17,2024-01-19 18:50,completed
13,Amafi Hostel,Night Market,shuttle_ride,2,2024-02-01 18:53,2024-02-01 20:24,completed
14,Amafi Hostel,Maintenance Depot,maintenance_structural,1,2024-02-03 07:36,2024-02-03 11:17,completed
15,Commonwealth Hall,Engineering Block,maintenance_structural,1,2024-02-04 14:38,2024-02-04 17:14,completed
16,Claver Robinson Hostel,Science Block,maintenance_IT,4,2024-02-02 12:15,2024-02-02 14:21,pending
17,Science Block,N Block,maintenance_structural,2,2024-01-20 17:15,2024-01-20 20:30,pending
18,Presbyterian Hall,Science Block,maintenance_IT,3,2024-01-23 19:14,2024-01-23 20:13,assigned
19,Legon Campus Main Gate,Maintenance Depot,maintenance_structural,5,2024-01-21 12:52,2024-01-21 15:08,pending
20,Night Market,Engineering Block,maintenance_IT,2,2024-02-05 10:20,2024-02-05 13:30,pending
21,Amafi Hostel,N Block,maintenance_plumbing,4,2024-01-22 11:39,2024-01-22 15:02,completed
22,Engineering Block,Night Market,shuttle_ride,1,2024-02-05 14:17,2024-02-05 16:00,cancelled
23,Engineering Block,Engineering Block,maintenance_electrical,3,2024-01-22 16:46,2024-01-22 19:47,completed
24,Commonwealth Hall,Maintenance Depot,maintenance_electrical,1,2024-01-19 17:03,2024-01-19 19:48,completed
25,Balme Library,Great Hall,shuttle_ride,1,2024-01-28 18:10,2024-01-28 19:00,pending
26,Legacy Hall,N Block,maintenance_plumbing,4,2024-01-24 17:11,2024-01-24 20:06,assigned
27,Balme Library,N Block,maintenance_electrical,5,2024-01-28 12:55,2024-01-28 15:49,assigned
28,Volta Hall,Night Market,shuttle_ride,4,2024-01-16 11:27,2024-01-16 15:22,completed
29,Commonwealth Hall,School of Engineering,maintenance_plumbing,4,2024-01-20 13:33,2024-01-20 15:58,pending
30,Central Cafeteria,Maintenance Depot,maintenance_plumbing,2,2024-01-18 13:56,2024-01-18 14:55,cancelled
31,Night Market,Engineering Block,maintenance_electrical,2,2024-01-26 11:17,2024-01-26 13:39,completed
32,Central Cafeteria,Engineering Block,maintenance_structural,1,2024-01-23 09:35,2024-01-23 12:39,completed
33,Commonwealth Hall,Maintenance Depot,maintenance_electrical,3,2024-01-26 09:58,2024-01-26 10:57,cancelled
34,Balme Library,Maintenance Depot,maintenance_electrical,2,2024-01-27 12:03,2024-01-27 12:41,cancelled
35,Legacy Hall,Maintenance Depot,maintenance_plumbing,5,2024-02-11 10:43,2024-02-11 13:12,completed
36,Central Cafeteria,Maintenance Depot,maintenance_electrical,4,2024-02-11 17:43,2024-02-11 20:27,cancelled
37,Bani Hostel,Commonwealth Hall,shuttle_ride,1,2024-02-01 07:57,2024-02-01 11:39,cancelled
38,Volta Hall,Maintenance Depot,maintenance_electrical,2,2024-02-14 08:41,2024-02-14 12:01,assigned
39,School of Business,N Block,maintenance_structural,2,2024-02-08 16:25,2024-02-08 19:45,pending
40,School of Pharmacy,Maintenance Depot,maintenance_plumbing,3,2024-02-01 09:24,2024-02-01 11:47,completed
41,Commonwealth Hall,Bani Hostel,shuttle_ride,4,2024-02-10 18:24,2024-02-10 20:46,completed
42,Bani Hostel,Maintenance Depot,maintenance_electrical,5,2024-02-04 15:16,2024-02-04 17:58,completed
43,Commonwealth Hall,Engineering Block,maintenance_electrical,1,2024-01-15 11:43,2024-01-15 13:22,pending
44,Engineering Block,School of Engineering,maintenance_electrical,2,2024-01-29 20:59,2024-01-29 22:58,completed
45,Akuafo Hall,Engineering Block,maintenance_structural,5,2024-02-07 16:08,2024-02-07 17:30,completed
46,Central Cafeteria,School of Engineering,maintenance_plumbing,4,2024-02-10 11:04,2024-02-10 11:45,completed
47,Legon Hall,Great Hall,shuttle_ride,3,2024-01-24 11:38,2024-01-24 12:12,completed
48,Akuafo Hall,Engineering Block,maintenance_IT,3,2024-02-03 09:11,2024-02-03 10:45,pending
49,Central Cafeteria,Maintenance Depot,maintenance_electrical,3,2024-02-04 18:49,2024-02-04 19:53,assigned
50,Great Hall,Maintenance Depot,maintenance_structural,3,2024-02-08 20:55,2024-02-08 22:48,completed
51,Amafi Hostel,School of Engineering,maintenance_plumbing,3,2024-02-05 13:05,2024-02-05 15:18,cancelled
52,Legon Hall,Engineering Block,maintenance_plumbing,1,2024-01-26 17:41,2024-01-26 18:52,completed
53,Jean Nelson Hall,Engineering Block,maintenance_IT,2,2024-02-07 07:41,2024-02-07 10:21,assigned
54,Mizpah Hostel,N Block,maintenance_plumbing,5,2024-01-24 17:44,2024-01-24 18:35,completed
55,Mizpah Hostel,Maintenance Depot,maintenance_plumbing,2,2024-01-19 07:45,2024-01-19 11:23,pending
56,Alexander Kwapong Hostel,Engineering Block,maintenance_plumbing,4,2024-02-13 07:52,2024-02-13 11:52,pending
57,School of Business,School of Engineering,maintenance_structural,2,2024-01-15 10:52,2024-01-15 12:59,assigned
58,Shuttle Stop A,Maintenance Depot,maintenance_structural,4,2024-02-10 11:03,2024-02-10 15:02,pending
59,Great Hall,Amafi Hostel,shuttle_ride,5,2024-01-15 15:03,2024-01-15 17:34,completed
60,Mizpah Hostel,N Block,maintenance_structural,5,2024-01-18 16:33,2024-01-18 20:31,completed
61,Shuttle Stop B,Science Block,maintenance_plumbing,3,2024-01-30 07:23,2024-01-30 09:40,pending
62,Great Hall,Science Block,maintenance_electrical,3,2024-01-27 09:38,2024-01-27 13:12,cancelled
63,Mizpah Hostel,Maintenance Depot,maintenance_plumbing,2,2024-01-31 18:48,2024-01-31 22:47,pending
64,Shuttle Stop A,Maintenance Depot,maintenance_IT,3,2024-02-13 07:23,2024-02-13 10:05,assigned
65,Presbyterian Hall,Maintenance Depot,maintenance_structural,4,2024-01-16 07:40,2024-01-16 09:42,pending
66,Balme Library,Great Hall,shuttle_ride,4,2024-01-21 13:49,2024-01-21 17:07,assigned
67,Balme Library,Maintenance Depot,maintenance_structural,1,2024-02-11 11:54,2024-02-11 13:33,pending
68,Claver Robinson Hostel,School of Engineering,maintenance_IT,4,2024-02-03 09:21,2024-02-03 13:17,cancelled
69,Presbyterian Hall,School of Engineering,maintenance_structural,3,2024-02-08 08:38,2024-02-08 11:29,assigned
70,Mensah Sarbah Hall,Maintenance Depot,maintenance_IT,2,2024-02-12 08:04,2024-02-12 09:16,completed
71,Mensah Sarbah Hall,School of Engineering,maintenance_electrical,1,2024-01-19 14:46,2024-01-19 17:28,pending
72,Volta Hall,Maintenance Depot,maintenance_structural,4,2024-02-10 14:47,2024-02-10 17:53,pending
73,Akuafo Hall,Science Block,maintenance_IT,4,2024-01-28 08:06,2024-01-28 09:09,pending
74,Alexander Kwapong Hostel,Mizpah Hostel,shuttle_ride,3,2024-01-17 13:38,2024-01-17 16:26,cancelled
75,Bani Hostel,Maintenance Depot,maintenance_plumbing,5,2024-02-09 18:54,2024-02-09 19:43,cancelled
76,Claver Robinson Hostel,Maintenance Depot,maintenance_plumbing,2,2024-01-21 10:26,2024-01-21 13:45,pending
77,Jean Nelson Hall,Engineering Block,maintenance_plumbing,1,2024-02-04 10:12,2024-02-04 12:24,pending
78,Legacy Hall,Maintenance Depot,maintenance_plumbing,5,2024-01-19 16:58,2024-01-19 19:44,assigned
79,Jean Nelson Hall,School of Engineering,maintenance_IT,4,2024-02-05 17:19,2024-02-05 18:21,pending
80,Mizpah Hostel,Science Block,maintenance_electrical,1,2024-01-19 15:34,2024-01-19 16:44,completed
81,Akuafo Hall,N Block,maintenance_structural,2,2024-01-23 09:34,2024-01-23 12:11,completed
82,School of Engineering,N Block,maintenance_plumbing,3,2024-02-14 09:43,2024-02-14 12:27,completed
83,Legon Campus Main Gate,Maintenance Depot,maintenance_plumbing,4,2024-01-30 10:34,2024-01-30 11:14,pending
84,N Block,N Block,maintenance_plumbing,5,2024-01-26 09:43,2024-01-26 11:34,cancelled
85,Alexander Kwapong Hostel,Science Block,maintenance_structural,2,2024-02-11 18:23,2024-02-11 21:07,completed
86,N Block,Engineering Block,maintenance_structural,1,2024-01-31 13:43,2024-01-31 14:27,pending
87,Amafi Hostel,Science Block,maintenance_plumbing,2,2024-01-18 18:05,2024-01-18 20:26,pending
88,Legacy Hall,Engineering Block,maintenance_IT,5,2024-02-04 11:24,2024-02-04 12:22,cancelled
89,Legon Campus Main Gate,Maintenance Depot,maintenance_plumbing,5,2024-02-03 09:12,2024-02-03 10:44,pending
90,Akuafo Hall,Maintenance Depot,maintenance_structural,2,2024-02-14 13:49,2024-02-14 14:49,assigned
91,Mizpah Hostel,Science Block,maintenance_IT,3,2024-02-10 17:54,2024-02-10 20:49,pending
92,Akuafo Hall,Engineering Block,maintenance_electrical,3,2024-02-05 12:08,2024-02-05 13:52,completed
93,Balme Library,School of Business,shuttle_ride,3,2024-02-10 20:55,2024-02-10 23:10,pending
94,Jean Nelson Hall,Maintenance Depot,maintenance_IT,5,2024-02-03 16:44,2024-02-03 17:15,pending
95,Balme Library,Maintenance Depot,maintenance_IT,5,2024-02-12 11:57,2024-02-12 15:22,assigned
96,School of Pharmacy,Maintenance Depot,maintenance_IT,4,2024-02-01 07:48,2024-02-01 08:23,assigned
97,Volta Hall,N Block,maintenance_electrical,4,2024-02-01 13:44,2024-02-01 16:15,completed
98,Commonwealth Hall,N Block,maintenance_plumbing,5,2024-02-09 20:20,2024-02-09 23:42,completed
99,Engineering Block,N Block,maintenance_plumbing,5,2024-02-13 16:45,2024-02-13 19:22,cancelled
100,Bani Hostel,Maintenance Depot,maintenance_IT,1,2024-02-09 13:24,2024-02-09 17:15,assigned
101,Great Hall,Jean Nelson Hall,shuttle_ride,3,2024-01-21 12:44,2024-01-21 14:30,pending
102,Volta Hall,Shuttle Stop B,shuttle_ride,4,2024-02-04 14:01,2024-02-04 16:16,completed
103,Bani Hostel,N Block,maintenance_plumbing,1,2024-02-03 14:53,2024-02-03 17:11,pending
104,Science Block,Maintenance Depot,maintenance_IT,5,2024-01-20 18:45,2024-01-20 20:50,pending
105,Shuttle Stop B,Commonwealth Hall,shuttle_ride,3,2024-01-27 20:50,2024-01-28 00:41,pending
106,Legacy Hall,Legon Campus Main Gate,shuttle_ride,5,2024-02-06 11:59,2024-02-06 14:04,completed
107,Shuttle Stop A,Legon Hall,shuttle_ride,2,2024-02-14 11:23,2024-02-14 12:50,completed
108,Commonwealth Hall,Maintenance Depot,maintenance_plumbing,4,2024-01-16 19:59,2024-01-16 23:59,pending
109,Night Market,Engineering Block,maintenance_electrical,4,2024-02-10 07:07,2024-02-10 10:19,assigned
110,School of Business,Mensah Sarbah Hall,shuttle_ride,5,2024-01-15 18:28,2024-01-15 22:13,completed
111,Legon Campus Main Gate,Night Market,shuttle_ride,2,2024-01-17 20:24,2024-01-17 22:24,pending
112,Jean Nelson Hall,Maintenance Depot,maintenance_IT,2,2024-02-03 14:29,2024-02-03 18:05,pending
113,N Block,Maintenance Depot,maintenance_structural,2,2024-01-24 09:18,2024-01-24 12:48,completed
114,Presbyterian Hall,Engineering Block,maintenance_structural,2,2024-01-20 17:10,2024-01-20 19:21,pending
115,Jean Nelson Hall,Science Block,maintenance_IT,2,2024-02-08 09:53,2024-02-08 13:44,assigned
116,Alexander Kwapong Hostel,Maintenance Depot,maintenance_structural,3,2024-02-14 07:43,2024-02-14 10:32,completed
117,Legon Hall,Science Block,maintenance_structural,1,2024-01-20 18:39,2024-01-20 20:18,pending
118,Night Market,Maintenance Depot,maintenance_IT,4,2024-02-12 14:30,2024-02-12 16:46,completed
119,Night Market,Maintenance Depot,maintenance_IT,4,2024-02-09 08:09,2024-02-09 10:56,assigned
120,Central Cafeteria,Science Block,maintenance_plumbing,2,2024-02-12 15:50,2024-02-12 16:42,assigned
121,Balme Library,School of Engineering,maintenance_IT,1,2024-01-28 16:17,2024-01-28 17:03,assigned
122,Central Cafeteria,Maintenance Depot,maintenance_electrical,5,2024-02-10 10:13,2024-02-10 11:56,cancelled
123,Mizpah Hostel,Maintenance Depot,maintenance_plumbing,3,2024-02-02 18:34,2024-02-02 20:19,completed
124,Balme Library,Maintenance Depot,maintenance_plumbing,3,2024-02-08 16:10,2024-02-08 19:39,pending
125,Jean Nelson Hall,Maintenance Depot,maintenance_plumbing,1,2024-01-26 17:32,2024-01-26 18:53,cancelled
